gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
200708010815A,3.0485025345622123,0.8005896313364059,3.8558313364055286,1323.0501000000002,347.45590000000016,1673.4307999999994,434
200708020237A,20.486349653979214,17.878792906574404,26.133669377162636,11841.110099999985,10333.942300000006,15105.260900000003,578
200708220726A,4.754934732824426,1.6643839694656475,9.440364122137407,1245.7928999999995,436.06859999999966,2473.3754000000004,262
200709031614A,12.882288333333324,7.770707083333333,17.696300000000004,3091.749199999998,1864.9696999999999,4247.112000000001,240
200709061751A,14.637965651438229,9.080430795262266,19.71495194585449,8651.037699999993,5366.5346,11651.536600000003,591
200710061238A,12.015765991316934,9.154262662807533,18.32121316931982,8302.894300000002,6325.595500000005,12659.958299999995,691
200710081710A,7.1127148425787015,5.009657421289357,14.172347826086954,4744.180799999994,3341.4415000000013,9452.955999999998,667
200710251350A,14.20051142857141,10.492736571428564,22.862664000000006,2485.089499999997,1836.2288999999987,4000.966200000001,175
200711270427A,8.649681818181815,5.016021933621932,16.860178643578646,5994.229499999998,3476.1031999999987,11684.103800000003,693
200712070047A,6.356583630952384,2.3480943452380956,11.974679464285721,2135.812100000001,788.9597000000001,4023.492300000002,336
200712251404A,10.639846911764707,7.161711470588242,17.03969970588233,7235.095900000001,4869.963800000004,11586.995799999984,680
200712271752A,3.994272614107884,3.012165560165976,8.423260165975107,962.6197000000001,725.9319000000002,2030.0057000000006,241
200801070746A,5.193289417989414,4.240808112874784,11.722279541446202,2944.5950999999977,2404.5382000000022,6646.532499999997,567
200802270654A,15.43396331444758,11.023293909348444,21.628938101983017,10896.37809999999,7782.445500000002,15270.03030000001,706
200803031349A,24.237564822134377,25.108285902503304,28.558610671936737,18396.31169999999,19057.18900000001,21675.985499999984,759
200803031411A,18.714295923913056,11.266522554347835,20.220006249999997,6886.860900000004,4146.080300000003,7440.962299999999,368
200803130841A,5.057764016736395,2.325587866108784,12.053854393305437,1208.8055999999983,555.8154999999994,2880.8711999999996,239
200803142232A,15.995660719225441,11.814872337482717,19.935077731673584,11564.862699999994,8542.152700000004,14413.0612,723
200803201410A,12.404618257261404,9.599000829875514,16.44522199170124,2989.5129999999986,2313.359199999999,3963.2984999999985,241
200803262006A,7.155675496688736,7.324531788079466,11.575983443708603,1080.5069999999992,1106.0042999999994,1747.9734999999991,151
200804161919A,6.184016406250001,1.2576281249999994,10.080863281249998,1583.1082000000004,321.95279999999985,2580.7009999999996,256
200804231828A,18.422550425273393,15.955796233292828,23.924430619684074,15161.759000000004,13131.620299999997,19689.806399999994,823
200805071602A,20.244880887792878,19.071786929716403,23.210987422934647,16418.598400000024,15467.219200000001,18824.1108,811
200805071616A,5.10266493349456,3.511857678355501,6.031357920193467,4219.903900000001,2904.3062999999993,4987.932999999997,827
200805071645A,18.726269523809513,15.539472142857134,21.357312857142844,7865.033199999996,6526.5782999999965,8970.071399999995,420
200805092151A,24.775665714285715,17.629600000000007,26.532105714285713,4335.7415,3085.180000000001,4643.1185,175
200805121111A,9.683894310344835,8.64782224137931,10.610759655172405,5616.6587000000045,5015.7369,6154.240599999995,580
200805191008A,3.190125040650407,-0.32493853658536576,3.240870243902441,1961.9269000000004,-199.83719999999994,1993.1352000000013,615
200805202042A,7.662108181818167,9.684324545454544,13.500927012987006,5899.823299999988,7456.929899999998,10395.713799999994,770
200805250821A,15.3172633039092,14.09603757881463,20.121948549810856,12146.589799999996,11178.157800000003,15956.705200000008,793
200806010157A,18.298182295482295,11.475906715506701,22.561287545787547,14986.2113,9398.767599999988,18477.6945,819
200806041703A,4.351111958762895,1.9715903092783522,7.632009484536089,2110.289300000004,956.2213000000008,3701.524600000003,485
200806132343A,26.222823486682806,19.43318280871672,27.12207058111382,21660.0522,16051.809000000008,22402.830300000016,826
200806252337A,6.628769318181814,3.0722935606060604,13.154715909090902,1749.995099999999,811.0854999999999,3472.844999999998,264
200806271140A,22.06984561933534,17.12411812688822,22.643193655589133,7305.118899999997,5668.083100000001,7494.897100000003,331
200806281254A,17.70904045698923,16.142222580645168,22.75077876344087,13175.526099999986,12009.813600000005,16926.579400000006,744
200806292053A,6.617408896797156,1.791786476868326,10.86112135231317,1859.491900000001,503.4919999999996,3051.9751000000006,281
200807080742A,9.658812670299719,5.85773950953678,15.924492915531332,7089.568499999994,4299.580799999997,11688.577799999997,734
200807131458A,23.704000925925914,20.17180462962965,27.308820767195776,17920.22469999999,15249.884300000016,20645.468500000006,756
200807190239A,17.40788033175356,13.465250710900467,19.851637203791448,7346.125500000002,5682.335799999997,8377.390899999991,422
200807202130A,3.908900675675669,-1.5280749999999987,7.374352702702702,1157.034599999998,-452.3101999999996,2182.8084,296
200807211130A,12.94880952380954,10.176159047619041,18.513363401360543,9517.375000000013,7479.476899999995,13607.3221,735
200807231526A,16.98707046413502,11.295138255977488,17.51401181434599,12077.8071,8030.843299999994,12452.4624,711
200808011035A,5.664011764705885,3.096372664359861,10.279073356401389,1636.8994000000007,894.8516999999998,2970.6522000000014,289
200808050949A,17.855364547677272,13.971596821515904,22.0236488997555,14605.688200000008,11428.76620000001,18015.3448,818
200808100820A,17.374792895442358,16.790507104557648,24.22497171581768,12961.595499999998,12525.718300000004,18071.82889999999,746
200808151025A,16.713426802721123,14.419115782312918,23.620874013605434,12284.368700000025,10598.050099999995,17361.342399999994,735
200808160401A,10.267089908256876,11.65595255570116,18.62412595019658,7833.789599999996,8893.491799999985,14210.208099999989,763
200808211224A,15.024385518102383,15.0501411985019,18.36068114856429,12034.532800000008,12055.163100000022,14706.905599999996,801
200808270135A,15.362602045209899,12.88810699677074,18.37858902045211,14271.857299999996,11973.051400000017,17073.709200000012,929
200808300830A,12.683479298642522,13.208842420814474,16.66595712669685,11212.19569999999,11676.616699999995,14732.706100000014,884
200809110020A,18.41074490797544,16.05170699386506,19.19027141104293,15004.757099999984,13082.141200000024,15640.071199999986,815
200809220731A,3.52634683153014,2.3542275115919633,8.034529675425045,2281.5464000000006,1523.1852000000001,5198.340700000004,647
